Date,Open,High,Low,Close,Adj Close,Volume
7/29/2020,10474.7002,10567.91016,10464,10542.94043,10542.94043,3970900000
7/30/2020,10450.12012,10609.58984,10412.08984,10587.80957,10587.80957,4135200000
7/31/2020,10741.46973,10747.79981,10557.7002,10745.26953,10745.26953,4418390000
8/3/2020,10848.63965,10927.55957,10831.15039,10902.79981,10902.79981,4173600000
8/4/2020,10897.88965,10941.91016,10852.90039,10941.16992,10941.16992,3973570000
8/5/2020,10967.87012,11002.11035,10943.71973,10998.40039,10998.40039,4119550000
8/6/2020,10989.98047,11121.19043,10963.41016,11108.07031,11108.07031,4086290000
8/7/2020,11072.53027,11126.04004,10920.37012,11010.98047,11010.98047,4230720000
8/10/2020,11033.73047,11040.24023,10849.45996,10968.36035,10968.36035,4018530000
8/11/2020,10942.66016,10989.41992,10762.70996,10782.82031,10782.82031,4303980000
8/12/2020,10878.12012,11036.71973,10877.16016,11012.24023,11012.24023,3716840000
8/13/2020,11026.86035,11124.84961,11007.5,11042.5,11042.5,3444140000
8/14/2020,11042.24023,11058.44043,10972.05957,11019.29981,11019.29981,3491320000
8/17/2020,11083.25,11144.53027,11080.29981,11129.73047,11129.73047,3193160000
8/18/2020,11170.75,11230.62012,11103.83008,11210.83984,11210.83984,3199470000
8/19/2020,11214.79981,11257.41992,11132.09961,11146.45996,11146.45996,3467890000
8/20/2020,11096.40039,11283.62012,11090.03027,11264.9502,11264.9502,4170980000
8/21/2020,11258.44043,11326.20996,11245.44043,11311.79981,11311.79981,3905670000
8/24/2020,11449.25,11462.04981,11297.53027,11379.71973,11379.71973,3885880000
8/25/2020,11370.23047,11468.25977,11343.04004,11466.46973,11466.46973,3454500000
8/26/2020,11516.62012,11672.04981,11507.45996,11665.05957,11665.05957,3441550000
8/27/2020,11688.19043,11730.00977,11551.00977,11625.33984,11625.33984,3535800000
8/28/2020,11689.28027,11708.76953,11634.76953,11695.62988,11695.62988,2997810000
8/31/2020,11718.80957,11829.83984,11697.41992,11775.45996,11775.45996,3596980000
9/1/2020,11850.95996,11945.71973,11794.78027,11939.66992,11939.66992,3480780000
9/2/2020,12047.25977,12074.05957,11836.17969,12056.44043,12056.44043,3966140000
9/3/2020,11861.90039,11894.40039,11361.36035,11458.09961,11458.09961,4437500000
9/4/2020,11396.24023,11531.17969,10875.87012,11313.12988,11313.12988,4269190000
9/8/2020,10900.7002,11131.5,10837.2002,10847.69043,10847.69043,3872230000
9/9/2020,11064.75977,11217.69043,10970.4502,11141.55957,11141.55957,3531780000
9/10/2020,11235.53027,11299.53027,10875.01953,10919.58984,10919.58984,3814100000
9/11/2020,11010.07031,11033.04004,10728.03027,10853.54981,10853.54981,3609190000
9/14/2020,11010.13965,11118.29004,10982.25977,11056.65039,11056.65039,3716820000
9/15/2020,11193.95996,11244.45996,11127.98047,11190.32031,11190.32031,3772820000
9/16/2020,11222.08008,11245.41992,11046.42969,11050.46973,11050.46973,3661710000
9/17/2020,10796.04981,10974.4502,10783.80957,10910.28027,10910.28027,3726750000
9/18/2020,10973.4502,10977.67969,10639.9502,10793.28027,10793.28027,5745690000
9/21/2020,10610.13965,10782.74023,10519.49023,10778.79981,10778.79981,3885200000
9/22/2020,10873.29981,10979.65039,10737.51953,10963.63965,10963.63965,3492020000
9/23/2020,10950.82031,10962.03027,10612.91016,10632.99023,10632.99023,4074600000
9/24/2020,10551.01953,10799.54981,10520.21973,10672.26953,10672.26953,4080730000
9/25/2020,10680.45996,10939.54981,10639.98047,10913.55957,10913.55957,3767230000
9/28/2020,11084.37988,11120.79004,11019.13965,11117.53027,11117.53027,3562900000
9/29/2020,11109,11153.23047,11065.62988,11085.25,11085.25,3363870000
9/30/2020,11092.90039,11277.95996,11092.90039,11167.50977,11167.50977,4228200000
10/1/2020,11291.99023,11344.12988,11240.53027,11326.50977,11326.50977,3978100000
10/2/2020,11082.53027,11244.87012,11033.69043,11075.01953,11075.01953,3715090000
10/5/2020,11169.11035,11335.20996,11162.51953,11332.49023,11332.49023,3597940000
10/6/2020,11314.53027,11392.41016,11124.4502,11154.59961,11154.59961,4360550000
10/7/2020,11271.67969,11380.55957,11258.34961,11364.59961,11364.59961,3891460000
10/8/2020,11443.34961,11448.23047,11384.33008,11420.98047,11420.98047,3486530000
10/9/2020,11487.59961,11581.23047,11476.66016,11579.94043,11579.94043,3475620000
10/12/2020,11732.33008,11965.54004,11704.12988,11876.25977,11876.25977,3862990000
10/13/2020,11901.75977,11946.98047,11821.83008,11863.90039,11863.90039,3607730000
10/14/2020,11889.07031,11939.91992,11714.34961,11768.73047,11768.73047,3393010000
10/15/2020,11559.87988,11740.67969,11559.09961,11713.87012,11713.87012,3304490000
10/16/2020,11761.83008,11827.41992,11648.53027,11671.55957,11671.55957,3156270000
10/19/2020,11732.33984,11778.11035,11454.57031,11478.87988,11478.87988,3455430000
10/20/2020,11531.83008,11632.88965,11471.23047,11516.49023,11516.49023,3483200000
10/21/2020,11530.38965,11613.79004,11476.08008,11484.69043,11484.69043,3445520000
10/22/2020,11526.96973,11548.76953,11369.29004,11506.00977,11506.00977,3414590000
10/23/2020,11536.00977,11548.84961,11434.86035,11548.28027,11548.28027,3134240000
10/26/2020,11440.63965,11545.62988,11221.05957,11358.94043,11358.94043,3186950000
10/27/2020,11409.33984,11465.05957,11361.86035,11431.34961,11431.34961,3079530000
10/28/2020,11230.90039,11249.9502,10999.07031,11004.87012,11004.87012,3912580000
10/29/2020,11064.46973,11287.62988,11030.19043,11185.58984,11185.58984,3222460000
10/30/2020,11103.46973,11129.80957,10822.57031,10911.58984,10911.58984,3662840000
11/2/2020,11010.4502,11071.08008,10830.9502,10957.61035,10957.61035,3196720000
11/3/2020,11038.66016,11213.91992,11004.83984,11160.57031,11160.57031,3190710000
11/4/2020,11443.76953,11663.30957,11394.20996,11590.78027,11590.78027,3606820000
11/5/2020,11816.33008,11924.28027,11784.15039,11890.92969,11890.92969,3823380000
11/6/2020,11869.90039,11920.54004,11737.12988,11895.23047,11895.23047,4156030000
11/9/2020,12046.66016,12108.07031,11703.49023,11713.78027,11713.78027,5823620000
11/10/2020,11622.44043,11665.87012,11424.61035,11553.86035,11553.86035,4712950000
11/11/2020,11656.65039,11793.57031,11638.90039,11786.42969,11786.42969,3823270000
11/12/2020,11802.5,11847.83984,11666.37012,11709.58984,11709.58984,3862690000
11/13/2020,11794.94043,11849.79004,11715.51953,11829.29004,11829.29004,3640680000
11/16/2020,11847.11035,11937.71973,11814.88965,11924.12988,11924.12988,4138920000
11/17/2020,11913.34961,11950.17969,11852.41016,11899.33984,11899.33984,4122770000
11/18/2020,11896.05957,11942.49023,11799.95996,11801.59961,11801.59961,4699160000
11/19/2020,11779.04004,11912.62988,11760.98047,11904.70996,11904.70996,5322580000
11/20/2020,11892.7002,11935.46973,11852.50977,11854.96973,11854.96973,5319340000
11/23/2020,11916.75977,11949.33008,11796.53027,11880.62988,11880.62988,5360830000
11/24/2020,11939.33008,12049.87988,11863.4502,12036.79004,12036.79004,6277790000
11/25/2020,12053.88965,12114.76953,12020.9502,12094.40039,12094.40039,4425030000
11/27/2020,12159.17969,12236.23047,12154.57031,12205.84961,12205.84961,3401890000
11/30/2020,12224.25,12244.65039,12027.16016,12198.74023,12198.74023,7693430000
12/1/2020,12313.36035,12405.79004,12263.92969,12355.11035,12355.11035,6467180000
12/2/2020,12285.75,12360.05957,12217.34961,12349.37012,12349.37012,5150820000
12/3/2020,12369.25977,12439.01953,12356.99023,12377.17969,12377.17969,5182100000
12/4/2020,12399.32031,12464.23047,12376.44043,12464.23047,12464.23047,5044210000
12/7/2020,12461,12536.23047,12460.54981,12519.9502,12519.9502,4741690000
12/8/2020,12503.16992,12594.54004,12453.20996,12582.76953,12582.76953,4758170000
12/9/2020,12591.69043,12607.13965,12290.78027,12338.9502,12338.9502,5131720000
12/10/2020,12247.54981,12431.55957,12214.74023,12405.80957,12405.80957,4470060000
12/11/2020,12336.79004,12383.5,12246.76953,12377.87012,12377.87012,4268140000
12/14/2020,12447.44043,12543,12432.70996,12440.04004,12440.04004,4458140000
12/15/2020,12543.25977,12596.12988,12465.41992,12595.05957,12595.05957,4377950000
12/16/2020,12611.04004,12687.32031,12566.37988,12658.19043,12658.19043,4561600000
12/17/2020,12730.78027,12765.25,12696.34961,12764.75,12764.75,4994090000
12/18/2020,12804.92969,12809.59961,12654.59961,12755.63965,12755.63965,7088670000
12/21/2020,12596.13965,12751.26953,12525.21973,12742.51953,12742.51953,5156470000
12/22/2020,12785.21973,12840.57031,12695.30957,12807.91992,12807.91992,5700760000
12/23/2020,12834.94043,12841.91992,12758.66992,12771.11035,12771.11035,7028650000
12/24/2020,12791.54004,12833.54981,12767.63965,12804.73047,12804.73047,3305950000
12/28/2020,12914.63965,12930.88965,12827.4502,12899.41992,12899.41992,5076340000
12/29/2020,12965.38965,12973.33008,12821.95996,12850.21973,12850.21973,4680780000
12/30/2020,12906.50977,12924.92969,12857.75977,12870,12870,5292210000
12/31/2020,12877.08984,12902.07031,12821.23047,12888.28027,12888.28027,4771390000
